SCAI Rules Documentation ,,,,,,,
#,Source File ,Section,Name,Type,Description,Confilect ,Status
522,content_rules.md,6. Tone Definitions,Empathetic,Tone definition,Understanding/compassionate/acknowledges struggles; Validating/supportive/solution-focused,PASSED,FALSE
523,content_rules.md,6. Article Type Default Tones,Affiliate Default Tone,Default setting,Persuasive - Drives purchase decisions,PASSED,FALSE
524,content_rules.md,6. Article Type Default Tones,Commercial Default Tone,Default setting,Persuasive - Promotes services/products,PASSED,FALSE
525,content_rules.md,6. Article Type Default Tones,Comparison Default Tone,Default setting,Objective - Fair analysis required,PASSED,FALSE
526,content_rules.md,6. Article Type Default Tones,How-To Default Tone,Default setting,Educational - Teaching-focused,PASSED,FALSE
527,content_rules.md,6. Article Type Default Tones,Informational Default Tone,Default setting,Educational - Knowledge-sharing,PASSED,FALSE
528,content_rules.md,6. Article Type Default Tones,Listicle Default Tone,Default setting,Conversational - Casual browsing content,PASSED,FALSE
529,content_rules.md,6. Article Type Default Tones,Local Default Tone,Default setting,Friendly - Community-focused,PASSED,FALSE
530,content_rules.md,6. Article Type Default Tones,Recipe Default Tone,Default setting,Friendly - Personal sharing recipes,PASSED,FALSE
531,content_rules.md,6. Article Type Default Tones,Review Default Tone,Default setting,Authoritative - Expert evaluation,PASSED,FALSE
532,content_rules.md,7. Style Definitions,Concise Style,Style definition,5-10 words per sentence; Short/punchy/direct; Quick to read; Bullet-point friendly,PASSED,FALSE
533,content_rules.md,7. Style Definitions,Balanced Style,Style definition,12-18 words per sentence; Standard/natural flow; Comfortable reading pace; Versatile,PASSED,FALSE
534,content_rules.md,7. Style Definitions,Detailed Style,Style definition,20-30 words per sentence; Thorough/comprehensive; In-depth explanations; Technical content,PASSED,FALSE
535,content_rules.md,7. Article Type Default Styles,Affiliate Default Style,Default setting,Balanced - Product descriptions need detail but not excessive,PASSED,FALSE
536,content_rules.md,7. Article Type Default Styles,Commercial Default Style,Default setting,Concise - Quick value propositions,PASSED,FALSE
537,content_rules.md,7. Article Type Default Styles,Comparison Default Style,Default setting,Detailed - Thorough analysis needed,PASSED,FALSE
538,content_rules.md,7. Article Type Default Styles,How-To Default Style,Default setting,Concise - Clear actionable steps,PASSED,FALSE
539,content_rules.md,7. Article Type Default Styles,Informational Default Style,Default setting,Detailed - Comprehensive explanations,PASSED,FALSE
540,content_rules.md,7. Article Type Default Styles,Listicle Default Style,Default setting,Concise - Quick scanning,PASSED,FALSE
541,content_rules.md,7. Article Type Default Styles,Local Default Style,Default setting,Balanced - Friendly but informative,PASSED,FALSE
542,content_rules.md,7. Article Type Default Styles,Recipe Default Style,Default setting,Concise - Clear instructions,PASSED,FALSE
543,content_rules.md,7. Article Type Default Styles,Review Default Style,Default setting,Detailed - In-depth evaluation,PASSED,FALSE
544,content_rules.md,7. Tone and Style Behavior,Defaults are presets,Behavior rule,Defaults are presets based on article type,PASSED,FALSE
545,content_rules.md,7. Tone and Style Behavior,Users can override,Behavior rule,Users can override with any tone/style combination,PASSED,FALSE
546,content_rules.md,7. Tone and Style Behavior,Tone affects voice,Behavior rule,Tone affects voice and attitude of content,PASSED,FALSE
547,content_rules.md,7. Tone and Style Behavior,Style affects structure,Behavior rule,Style affects sentence structure and length,PASSED,FALSE
548,content_rules.md,7. Tone and Style Behavior,Both consistent throughout,Behavior rule,Both should be consistent throughout the article,PASSED,FALSE
549,content_rules.md,8. Word Count Distribution,Distribution Priority 1,Distribution rule,Required components first - Fixed word counts from component definitions,PASSED,FALSE
550,content_rules.md,8. Word Count Distribution,Distribution Priority 2,Distribution rule,H2 + Standard Paragraph loops - Variable fills remaining word count,PASSED,FALSE
551,content_rules.md,8. Word Count Distribution,Distribution Priority 3,Distribution rule,Optional components - Added when enabled by user,PASSED,FALSE
552,content_rules.md,8. H2 Loop Scaling,Loop minimum,Scaling rule,H2 + Standard Paragraph loop minimum: 1 iteration,PASSED,FALSE
553,content_rules.md,8. H2 Loop Scaling,Loop expansion,Scaling rule,Loop expands based on target word count,PASSED,FALSE
554,content_rules.md,8. H2 Loop Scaling,Iteration word count,Scaling rule,Each loop iteration adds approximately the Standard Paragraph word count,PASSED,FALSE
555,content_rules.md,8. H2 Loop Scaling,System calculation,Scaling rule,System calculates iterations needed to meet target,PASSED,FALSE
556,content_rules.md,8. Content Tier Logic,Primary Tier,Tier definition,~2000 words; Pillar content/competitive keywords/comprehensive guides,PASSED,FALSE
557,content_rules.md,8. Content Tier Logic,Secondary Tier,Tier definition,~1000 words; Supporting content/long-tail keywords/topic clusters,PASSED,FALSE
558,content_rules.md,9. Quality Standards - Paragraph Writing,Complete paragraphs,Quality rule,Written clearly as complete paragraphs,PASSED,FALSE
559,content_rules.md,9. Quality Standards - Paragraph Writing,End with period,Quality rule,Must conclude with a period,PASSED,FALSE
560,content_rules.md,9. Quality Standards - Paragraph Writing,Address key points,Quality rule,Address all key points of the heading it belongs to,PASSED,FALSE
561,content_rules.md,9. Quality Standards - Paragraph Writing,Clear and organized,Quality rule,Writing must be clear and well-organized,PASSED,FALSE
562,content_rules.md,9. Quality Standards - Paragraph Writing,Proofread for errors,Quality rule,Proofread to eliminate errors in grammar/spelling/punctuation,PASSED,FALSE
563,content_rules.md,9. Quality Standards - Paragraph Writing,Convey understanding,Quality rule,Goal: Provide clear and informative response that conveys understanding,PASSED,FALSE
564,content_rules.md,9. Quality Standards - Natural Language,Sound natural,Quality rule,Content should sound natural and conversational not robotic or AI-generated,PASSED,FALSE
565,content_rules.md,9. Quality Standards - Natural Language,Avoid mechanical phrasing,Quality rule,Avoid overly formal or mechanical phrasing,PASSED,FALSE
566,content_rules.md,9. Quality Standards - Natural Language,Write as human,Quality rule,Write as a knowledgeable human would speak to the reader,PASSED,FALSE
567,content_rules.md,9. Quality Standards - Natural Language,Vary sentence structure,Quality rule,Vary sentence structure and length for natural rhythm,PASSED,FALSE
568,content_rules.md,9. Quality Standards - Clarity,Clear concise language,Quality rule,Use clear concise language,PASSED,FALSE
569,content_rules.md,9. Quality Standards - Clarity,Digestible sections,Quality rule,Break complex topics into digestible sections,PASSED,FALSE
570,content_rules.md,9. Quality Standards - Clarity,Consistent tone,Quality rule,Maintain consistent tone throughout article,PASSED,FALSE
571,content_rules.md,9. Quality Standards - Clarity,Logical flow,Quality rule,Ensure logical flow between sections,PASSED,FALSE
572,content_rules.md,9. Quality Standards - Value,Every paragraph adds value,Quality rule,Every paragraph must add value,PASSED,FALSE
573,content_rules.md,9. Quality Standards - Value,Relate to H2 topic,Quality rule,Content must directly relate to H2 topic,PASSED,FALSE
574,content_rules.md,9. Quality Standards - Value,Avoid filler,Quality rule,Avoid filler or redundant information,PASSED,FALSE
575,content_rules.md,9. Quality Standards - Value,Focus on user benefit,Quality rule,Focus on user benefit and practical application,PASSED,FALSE
576,content_rules.md,9. Quality Standards - Actionable,Include actionable tips,Quality rule,Include actionable tips/steps/recommendations where appropriate,PASSED,FALSE
577,content_rules.md,9. Quality Standards - Actionable,Concrete examples,Quality rule,Provide concrete examples readers can apply,PASSED,FALSE
578,content_rules.md,9. Quality Standards - Actionable,Avoid vague advice,Quality rule,Avoid vague or generic advice,PASSED,FALSE
579,content_rules.md,9. Quality Standards - Actionable,Clear next steps,Quality rule,Give readers clear next steps or takeaways,PASSED,FALSE
580,content_rules.md,9. Quality Standards - Accuracy,Factually accurate,Quality rule,LLM-generated content must be factually accurate,PASSED,FALSE
581,content_rules.md,9. Quality Standards - Accuracy,Review balanced,Quality rule,Review articles require balanced fair assessment,PASSED,FALSE
582,content_rules.md,9. Quality Standards - Accuracy,How-To executable,Quality rule,How-To steps must be executable and safe,PASSED,FALSE
583,content_rules.md,9. Quality Standards - Accuracy,Recipe disclaimer,Quality rule,Recipe nutrition must include approximate disclaimer,PASSED,FALSE
584,content_rules.md,9. Quality Standards - Engagement,Use bullet points,Quality rule,Use bullet points for easy scanning,PASSED,FALSE
585,content_rules.md,9. Quality Standards - Engagement,Focused sentences,Quality rule,Keep sentences and paragraphs focused,PASSED,FALSE
586,content_rules.md,9. Quality Standards - Engagement,Highlight key info,Quality rule,Highlight key information in boxes/lists,PASSED,FALSE
587,content_rules.md,9. Quality Standards - Engagement,Structure for comprehension,Quality rule,Structure content for quick comprehension,PASSED,FALSE
588,content_rules.md,9. Article-Specific Quality - Affiliate,Affiliate Quality,Quality requirement,H2 must contain product name; paragraph describes features,PASSED,FALSE
589,content_rules.md,9. Article-Specific Quality - Commercial,Commercial Quality,Quality requirement,Feature List scannable; CTA action-oriented,PASSED,FALSE
590,content_rules.md,9. Article-Specific Quality - Comparison,Comparison Quality,Quality requirement,Topic Overview follows 2-paragraph structure; balanced coverage,PASSED,FALSE
591,content_rules.md,9. Article-Specific Quality - How-To,How-To Quality,Quality requirement,Steps clear and sequential; Materials listed upfront,PASSED,FALSE
592,content_rules.md,9. Article-Specific Quality - Informational,Informational Quality,Quality requirement,Key Takeaways at top; minimum 4 H2 sections,PASSED,FALSE
593,content_rules.md,9. Article-Specific Quality - Listicle,Listicle Quality,Quality requirement,Odd numbers only; equal treatment per item,PASSED,FALSE
594,content_rules.md,9. Article-Specific Quality - Local,Local Quality,Quality requirement,Keywords include Service + Location,PASSED,FALSE
595,content_rules.md,9. Article-Specific Quality - Recipe,Recipe Quality,Quality requirement,Ingredients bulleted; Instructions numbered; Tips practical,PASSED,FALSE
596,content_rules.md,9. Article-Specific Quality - Review,Review Quality,Quality requirement,100% LLM-generated; balanced Pros & Cons; Rating justified,PASSED,FALSE
597,content_rules.md,10.1 Internal Linking Purpose,SEO Value,Linking purpose,Passes link equity and signals content relationships to search engines,PASSED,FALSE
598,content_rules.md,10.1 Internal Linking Purpose,User Experience,Linking purpose,Helps readers discover related content,PASSED,FALSE
599,content_rules.md,10.1 Internal Linking Purpose,Topical Authority,Linking purpose,Builds semantic clusters around key topics,PASSED,FALSE
600,content_rules.md,10.1 Internal Linking Purpose,Engagement,Linking purpose,Keeps users on site longer,PASSED,FALSE
601,content_rules.md,10.2 When to Add Links,Topic covered elsewhere,Linking situation,Link to that article when mentioning a topic covered elsewhere,PASSED,FALSE
602,content_rules.md,10.2 When to Add Links,Service/product reference,Linking situation,Link to service page when referencing a service/product (Commercial/Local only),PASSED,FALSE
603,content_rules.md,10.2 When to Add Links,Location discussion,Linking situation,Link to location page when discussing a location (Local only),PASSED,FALSE
604,content_rules.md,10.2 When to Add Links,No relevant links,Linking situation,Use Related Reading section as fallback when no relevant links exist,PASSED,FALSE
605,content_rules.md,10.3 Link Integration Rules,Contextual Relevance,Integration rule,Links must relate to surrounding content,PASSED,FALSE
606,content_rules.md,10.3 Link Integration Rules,Natural Flow,Integration rule,Links should read naturally within sentences,PASSED,FALSE
607,content_rules.md,10.3 Link Integration Rules,Descriptive Anchor Text,Integration rule,Use meaningful text not click here or read more,PASSED,FALSE
608,content_rules.md,10.3 Link Integration Rules,Value-Adding,Integration rule,Only link if it genuinely helps the reader,PASSED,FALSE
609,content_rules.md,10.4 What NOT to Do - Linking,No forcing irrelevant links,Prohibited action,Harms user experience and SEO,PASSED,FALSE
610,content_rules.md,10.4 What NOT to Do - Linking,No over-linking,Prohibited action,Dilutes link value and looks spammy,PASSED,FALSE
611,content_rules.md,10.4 What NOT to Do - Linking,No linking same page multiple times,Prohibited action,Redundant and no added value,PASSED,FALSE
612,content_rules.md,10.4 What NOT to Do - Linking,No generic anchor text,Prohibited action,Click here provides no SEO value,PASSED,FALSE
613,content_rules.md,11.1 Content Safety - No Adult Content,No sexual content,Safety rule,ENFORCED: Sexually explicit or suggestive text prohibited,PASSED,FALSE
614,content_rules.md,11.1 Content Safety - No Adult Content,No graphic violence,Safety rule,ENFORCED: Detailed descriptions of violence/gore/injury prohibited,PASSED,FALSE
615,content_rules.md,11.1 Content Safety - No Adult Content,No drug content,Safety rule,ENFORCED: Promotion or detailed instructions for illegal drug use prohibited,PASSED,FALSE
616,content_rules.md,11.1 Content Safety - No Adult Content,No gambling,Safety rule,ENFORCED: Promotion of gambling without appropriate disclaimers prohibited,PASSED,FALSE
617,content_rules.md,11.1 Content Safety - No Adult Content,No weapons,Safety rule,ENFORCED: Instructions for creating weapons or explosives prohibited,PASSED,FALSE
618,content_rules.md,11.1 Content Safety - No Adult Content,Enforcement action,Safety enforcement,Content flagged for adult themes triggers regeneration with stricter content filters,PASSED,FALSE
619,content_rules.md,11.2 Content Safety - No Profanity,No swear words,Safety rule,ENFORCED: Any profane language in any language prohibited,PASSED,FALSE
620,content_rules.md,11.2 Content Safety - No Profanity,No slurs,Safety rule,ENFORCED: Racial/ethnic/gender or any discriminatory slurs prohibited,PASSED,FALSE
621,content_rules.md,11.2 Content Safety - No Profanity,No crude language,Safety rule,ENFORCED: Vulgar or crude expressions prohibited,PASSED,FALSE
622,content_rules.md,11.2 Content Safety - No Profanity,No insults,Safety rule,ENFORCED: Direct insults or demeaning language toward any group prohibited,PASSED,FALSE
623,content_rules.md,11.2 Content Safety - No Profanity,No hate speech,Safety rule,ENFORCED: Any language promoting hatred or discrimination prohibited,PASSED,FALSE
624,content_rules.md,11.2 Content Safety - No Profanity,Use professional language,Allowed alternative,Use professional neutral language instead,PASSED,FALSE
625,content_rules.md,11.2 Content Safety - No Profanity,Replace with synonyms,Allowed alternative,Replace with appropriate synonyms,PASSED,FALSE
626,content_rules.md,11.2 Content Safety - No Profanity,Omit rather than substitute,Allowed alternative,Omit rather than substitute with symbols (no f***),PASSED,FALSE
627,content_rules.md,11.3 Content Safety - No Negative Language,No absolute negatives,Safety rule,ENFORCED: Avoid You will never succeed - use Success requires practice instead,PASSED,FALSE
628,content_rules.md,11.3 Content Safety - No Negative Language,No discouraging language,Safety rule,ENFORCED: Avoid This is too hard for beginners - use Beginners may need extra time instead,PASSED,FALSE
629,content_rules.md,11.3 Content Safety - No Negative Language,No fear-mongering,Safety rule,ENFORCED: Avoid You'll fail without this - use This can help improve results instead,PASSED,FALSE
630,content_rules.md,11.3 Content Safety - No Negative Language,No harsh criticism,Safety rule,ENFORCED: Avoid This product is terrible - use This product has limitations instead,PASSED,FALSE
631,content_rules.md,11.3 Content Safety - No Negative Language,No personal attacks,Safety rule,ENFORCED: Avoid Only fools would - use Consider these factors instead,PASSED,FALSE
632,content_rules.md,11.3 Content Safety - Appropriate Negative,Cons sections allowed,Appropriate use,Factual balanced cons allowed in review cons sections,PASSED,FALSE
633,content_rules.md,11.3 Content Safety - Appropriate Negative,Warning sections allowed,Appropriate use,Safety-focused warning sections allowed,PASSED,FALSE
634,content_rules.md,11.3 Content Safety - Appropriate Negative,Comparison disadvantages allowed,Appropriate use,Objective comparison disadvantages allowed,PASSED,FALSE
635,content_rules.md,11.3 Content Safety - Tone Guidelines,Replace Don't,Tone guideline,Use Consider avoiding or It's best to instead of Don't,PASSED,FALSE
636,content_rules.md,11.3 Content Safety - Tone Guidelines,Replace Wrong,Tone guideline,Use Less effective or Not recommended instead of Wrong,PASSED,FALSE
637,content_rules.md,11.3 Content Safety - Tone Guidelines,Replace Stupid,Tone guideline,Use Not advisable or Reconsidered instead of Stupid,PASSED,FALSE
638,content_rules.md,11.3 Content Safety - Tone Guidelines,Replace Never,Tone guideline,Use Rarely or In most cases avoid instead of Never,PASSED,FALSE
639,content_rules.md,11.4 Narrative Consistency,No contradicting statements,Consistency rule,ENFORCED: Content must not contain contradicting statements within the same article,PASSED,FALSE
640,content_rules.md,11.4 Narrative Consistency,Coherent message,Consistency definition,Article maintains a coherent message without conflicting claims,PASSED,FALSE
641,content_rules.md,11.4 Prohibited Contradictions,No sentiment flip,Prohibited contradiction,This is excellent followed by This is disappointing confuses reader,PASSED,FALSE
642,content_rules.md,11.4 Prohibited Contradictions,No fact contradiction,Prohibited contradiction,Costs $50 followed by Very affordable at $500 is misleading,PASSED,FALSE
643,content_rules.md,11.4 Prohibited Contradictions,No recommendation conflict,Prohibited contradiction,Highly recommend followed by Not worth buying is inconsistent advice,PASSED,FALSE
644,content_rules.md,11.4 Prohibited Contradictions,No feature contradiction,Prohibited contradiction,Has 10 features followed by Limited with only 3 features is factually inconsistent,PASSED,FALSE
645,content_rules.md,11.4 Allowed Nuance,Pros and Cons handling,Allowed nuance,Clearly label sections and maintain balance,PASSED,FALSE
646,content_rules.md,11.4 Allowed Nuance,Different use cases,Allowed nuance,For beginners: X and For experts: Y is acceptable,PASSED,FALSE
647,content_rules.md,11.4 Allowed Nuance,Conditional statements,Allowed nuance,If budget is priority then... If quality is priority then... is acceptable,PASSED,FALSE
648,content_rules.md,11.4 Allowed Nuance,Updates/Changes,Allowed nuance,Previously X now updated to Y is acceptable,PASSED,FALSE
649,content_rules.md,11.4 Consistency Checks,Compare sentiment,Consistency check,Compare sentiment across all paragraphs,PASSED,FALSE
650,content_rules.md,11.4 Consistency Checks,Verify numerical facts,Consistency check,Verify numerical facts don't contradict,PASSED,FALSE
651,content_rules.md,11.4 Consistency Checks,Ensure recommendations align,Consistency check,Ensure recommendations align throughout,PASSED,FALSE
652,content_rules.md,11.4 Consistency Checks,Check comparisons balanced,Consistency check,Check that comparisons are balanced,PASSED,FALSE
653,content_rules.md,11.4 When Inconsistency Detected,Step 1 - Identify,Detection step,Identify the contradicting statements,PASSED,FALSE
654,content_rules.md,11.4 When Inconsistency Detected,Step 2 - Determine,Detection step,Determine which is accurate/intended,PASSED,FALSE
655,content_rules.md,11.4 When Inconsistency Detected,Step 3 - Revise,Detection step,Revise or regenerate the inconsistent content,PASSED,FALSE
656,content_rules.md,11.4 When Inconsistency Detected,Step 4 - Re-validate,Detection step,Re-validate entire article for consistency,PASSED,FALSE
657,content_rules.md,11.5 Content Safety Summary,No Adult Content Enforcement,Enforcement summary,Strict enforcement - Regenerate entire section on violation,PASSED,FALSE
658,content_rules.md,11.5 Content Safety Summary,No Profanity Enforcement,Enforcement summary,Strict enforcement - Regenerate with filter on violation,PASSED,FALSE
659,content_rules.md,11.5 Content Safety Summary,No Negative Language Enforcement,Enforcement summary,Moderate enforcement - Revise phrasing on violation,PASSED,FALSE
660,content_rules.md,11.5 Content Safety Summary,Narrative Consistency Enforcement,Enforcement summary,Moderate enforcement - Identify and correct contradictions on violation,PASSED,FALSE
661,general_rules.md,1. Standard Content Layout,Article Structure - Header,Layout element,Navigation and Logo at top,PASSED,FALSE
662,general_rules.md,1. Standard Content Layout,Article Structure - H1,Layout element,Article Title position after header,PASSED,FALSE
663,general_rules.md,1. Standard Content Layout,Article Structure - Featured Image,Layout element,Center-aligned and Full-width after H1,PASSED,FALSE
664,general_rules.md,1. Standard Content Layout,Article Structure - Overview Paragraph,Layout element,Content-width after Featured Image,PASSED,FALSE
665,general_rules.md,1. Standard Content Layout,Article Structure - Table of Contents,Layout element,Optional position after Overview,PASSED,FALSE
666,general_rules.md,1. Standard Content Layout,Article Structure - Content Area,Layout element,H2 > Image > Paragraph loops at Content-width,PASSED,FALSE
667,general_rules.md,1. Standard Content Layout,Article Structure - Special Sections,Layout element,Article-type specific content position,PASSED,FALSE
668,general_rules.md,1. Standard Content Layout,Article Structure - Closing Section,Layout element,Closing H2 + Paragraph position,PASSED,FALSE
669,general_rules.md,1. Standard Content Layout,Article Structure - FAQ Section,Layout element,Optional FAQ H2 > H3s > Answers position,PASSED,FALSE
670,general_rules.md,1. Standard Content Layout,Article Structure - Footer,Layout element,Footer at bottom,PASSED,FALSE
671,general_rules.md,1. Content Width Zones,Full-width Zone,Width zone,100% viewport for Featured Image,PASSED,FALSE
672,general_rules.md,1. Content Width Zones,Content-width Zone,Width zone,Readable column for All text content and H2 images,PASSED,FALSE
673,general_rules.md,1. Content Width Zones,Header/Footer Zone,Width zone,Full-width for Site navigation,PASSED,FALSE
674,general_rules.md,1. Table of Contents Position,Exact Placement Rule,Position rule,Table of Contents appears AFTER Overview Paragraph and BEFORE the first H2,PASSED,FALSE
675,general_rules.md,1. Table of Contents Position,Format Rule,Format rule,Bulleted list of clickable H2 headings (jump links),PASSED,FALSE
676,general_rules.md,2. Image Placement Rules,Featured Image Position,Position rule,Featured image appears immediately after H1,PASSED,FALSE
677,general_rules.md,2. Image Placement Rules,Featured Image Alignment,Alignment rule,Center-aligned,PASSED,FALSE
678,general_rules.md,2. Image Placement Rules,Featured Image Width,Width rule,Full-width,PASSED,FALSE
679,general_rules.md,2. Image Placement Rules,H2 Image Position,Position rule,H2 Image appears between H2 and its paragraph when enabled,PASSED,FALSE
680,general_rules.md,2. Image Placement Rules,H2 Image Alignment,Alignment rule,Center-aligned,PASSED,FALSE
681,general_rules.md,2. Image Placement Rules,H2 Image Width,Width rule,Content-width,PASSED,FALSE
682,general_rules.md,2. Image Alignment Summary,Featured Image Alignment Summary,Alignment summary,Center horizontal alignment and Full-width,PASSED,FALSE
683,general_rules.md,2. Image Alignment Summary,H2 Image Alignment Summary,Alignment summary,Center horizontal alignment and Content-width,PASSED,FALSE
684,general_rules.md,2. Image Alignment Summary,Why Choose Local Image Exception,Alignment exception,LEFT alignment (exception) and Side-by-side with list,PASSED,FALSE
685,general_rules.md,3. Box Component Layouts,Box Visual Treatment - Background,Visual treatment,Background highlighted for box components,PASSED,FALSE
686,general_rules.md,3. Box Component Layouts,Box Visual Treatment - Border,Visual treatment,Border or shadow for box components,PASSED,FALSE
687,general_rules.md,3. Box Component Layouts,Box Visual Treatment - Padding,Visual treatment,Padding around content for box components,PASSED,FALSE
688,general_rules.md,3. Box Component Layouts,Box Visual Treatment - Margin,Visual treatment,Margin from other content for box components,PASSED,FALSE
689,general_rules.md,3. Box Component Layouts,Key Takeaways Box Style,Box style,Highlighted background with bulleted list,PASSED,FALSE
690,general_rules.md,3. Box Component Layouts,Materials/Requirements Box Style,Box style,Card style with bulleted list,PASSED,FALSE
691,general_rules.md,3. Box Component Layouts,CTA Box Style,Box style,Prominent styling and action-focused,PASSED,FALSE
692,general_rules.md,3. Box Component Layouts,Quick Verdict Box Style,Box style,Highlighted with conditional format,PASSED,FALSE
693,general_rules.md,3. Box Component Layouts,Product Card Style,Box style,Card with image and details and CTA button,PASSED,FALSE
694,general_rules.md,4. Table Layouts,Comparison Table Structure,Table layout,Rows for features and Columns for topics - Side-by-side comparison,PASSED,FALSE
695,general_rules.md,4. Table Layouts,Comparison Table Header Row,Table layout,FEATURE | TOPIC A | TOPIC B columns,PASSED,FALSE
696,general_rules.md,4. Table Layouts,Comparison Table Data Rows,Table layout,Feature name | Value A | Value B for each feature,PASSED,FALSE
697,general_rules.md,4. Table Layouts,Service Info Box Structure,Table layout,Two-column label-information format,PASSED,FALSE
698,general_rules.md,4. Table Layouts,Service Info Box Header Row,Table layout,LABEL | INFORMATION columns,PASSED,FALSE
699,general_rules.md,4. Table Layouts,Service Info Box Data Rows,Table layout,Working Hours/Response Time/Service Call Fee/Emergency Fee/Service Area/Payment Methods rows,PASSED,FALSE
700,general_rules.md,4. Table Layouts,Nutrition Table Structure,Table layout,Standard data table format with disclaimer,PASSED,FALSE
701,general_rules.md,4. Table Layouts,Nutrition Table Header,Table layout,NUTRITION FACTS with Approximate nutritional values note,PASSED,FALSE
702,general_rules.md,4. Table Layouts,Nutrition Table Columns,Table layout,Nutrient | Amount columns,PASSED,FALSE
703,general_rules.md,4. Table Layouts,Nutrition Table Data Rows,Table layout,Calories/Protein/Carbohydrates/Fat rows,PASSED,FALSE
704,general_rules.md,5. Special Component Layouts,Why Choose Local Layout - H2 Position,Special layout,Why Choose Local H2 at top,PASSED,FALSE
705,general_rules.md,5. Special Component Layouts,Why Choose Local Layout - Side-by-side,Special layout,Image LEFT aligned beside bullet list,PASSED,FALSE
706,general_rules.md,5. Special Component Layouts,Why Choose Local Layout - Only Left Aligned,Special layout note,This is the ONLY layout where image is left-aligned instead of centered,PASSED,FALSE
707,general_rules.md,5. Special Component Layouts,Why Choose Local Layout - Bullet Format,Special layout,Bullet points 8-12 words each and 4-5 bullets,PASSED,FALSE
708,general_rules.md,5. Special Component Layouts,Product Card Layout - Image Position,Special layout,Product Image at top of card,PASSED,FALSE
709,general_rules.md,5. Special Component Layouts,Product Card Layout - Name Position,Special layout,Product Name below image,PASSED,FALSE
710,general_rules.md,5. Special Component Layouts,Product Card Layout - Rating Position,Special layout,Star Rating below name,PASSED,FALSE
711,general_rules.md,5. Special Component Layouts,Product Card Layout - Price Position,Special layout,Price below rating,PASSED,FALSE
712,general_rules.md,5. Special Component Layouts,Product Card Layout - CTA Position,Special layout,CTA Button at bottom of card,PASSED,FALSE
713,general_rules.md,5. Special Component Layouts,FAQ Section Layout - H2 Position,Special layout,FAQ H2 Heading at top,PASSED,FALSE
714,general_rules.md,5. Special Component Layouts,FAQ Section Layout - Q&A Pairs,Special layout,5 FAQ H3 Questions followed by Answer paragraphs,PASSED,FALSE
715,general_rules.md,5. Special Component Layouts,Honorable Mentions Layout - H2 Position,Special layout,Honorable Mentions H2 Heading at top,PASSED,FALSE
716,general_rules.md,5. Special Component Layouts,Honorable Mentions Layout - H3 Pairs,Special layout,3-4 H3 Item Names followed by Description paragraphs,PASSED,FALSE
717,general_rules.md,5. Special Component Layouts,Pros & Cons Layout - H2 Position,Special layout,Pros & Cons H2 Heading at top,PASSED,FALSE
718,general_rules.md,5. Special Component Layouts,Pros & Cons Layout - Side-by-side Lists,Special layout,PROS column with + items beside CONS column with - items,PASSED,FALSE
719,general_rules.md,5. Special Component Layouts,Pros & Cons Layout - Dual Format,Special layout,Side-by-side or stacked dual lists,PASSED,FALSE
720,general_rules.md,6. CSS Reference Files,Universal Components File,CSS reference,/Component Libraries/universal-components.html for Universal component styles,PASSED,FALSE
721,general_rules.md,6. CSS Reference Files,Unique Components File,CSS reference,/Component Libraries/unique-components.html for Unique component styles,PASSED,FALSE
722,general_rules.md,6. CSS Reference Files,Article Examples Files,CSS reference,/Article Examples/[article-type].html for Example implementations,PASSED,FALSE
723,general_rules.md,6. CSS Usage Guidelines,Reference for HTML structure,Usage guideline,Reference these files for exact HTML structure,PASSED,FALSE
724,general_rules.md,6. CSS Usage Guidelines,Copy styling exactly,Usage guideline,Copy styling exactly from documentation,PASSED,FALSE
725,general_rules.md,6. CSS Usage Guidelines,Follow class naming,Usage guideline,Follow established class naming conventions,PASSED,FALSE
726,general_rules.md,6. CSS Usage Guidelines,See CSS constraints,Usage guideline,See programmatic_options.md for CSS usage constraints,PASSED,FALSE
727,general_rules.md,7. Design Philosophy,Core Principle - Simplicity,Design principle,Clean minimal aesthetic,PASSED,FALSE
728,general_rules.md,7. Design Philosophy,Core Principle - Consistency,Design principle,Same styling across all article types,PASSED,FALSE
729,general_rules.md,7. Design Philosophy,Core Principle - Hierarchy,Design principle,Clear visual distinction between heading levels,PASSED,FALSE
730,general_rules.md,7. Design Philosophy,Core Principle - Accessibility,Design principle,Readable by all users and devices,PASSED,FALSE
731,general_rules.md,7. Design Philosophy,Core Principle - Responsiveness,Design principle,Scales appropriately for different screens,PASSED,FALSE
732,general_rules.md,7. Visual Hierarchy,H1 Visual Weight,Visual hierarchy,Largest and boldest - Article title draws immediate attention,PASSED,FALSE
733,general_rules.md,7. Visual Hierarchy,H2 Visual Weight,Visual hierarchy,Medium-large - Section divisions and scannable,PASSED,FALSE
734,general_rules.md,7. Visual Hierarchy,H3 Visual Weight,Visual hierarchy,Medium - Sub-sections for FAQ and Honorable Mentions only,PASSED,FALSE
735,general_rules.md,7. Visual Hierarchy,Paragraph Visual Weight,Visual hierarchy,Standard - Body content and readable,PASSED,FALSE
736,general_rules.md,7. Visual Hierarchy,Lists Visual Weight,Visual hierarchy,Scannable - Quick information delivery,PASSED,FALSE
737,general_rules.md,7. Visual Hierarchy,Tables Visual Weight,Visual hierarchy,Structured - Comparative data display,PASSED,FALSE
738,general_rules.md,7. Visual Hierarchy,Boxes Visual Weight,Visual hierarchy,Highlighted - Important callouts,PASSED,FALSE
